agent_id,delta,kappa,initial_wealth,capacity,final_net,final_gross,net_return,gross_return,gross_return_comp,turnover,trade_count,num_lots_opened,mean_cash_weight,portfolio_vol,hhi,costs_paid,volume_mid,mean_portfolio_value,spread_cost,commission_cost,position_days_in_gain,position_days_in_loss,position_days_neutral,sells_from_gain,sells_from_loss,sells_from_neutral,sale_days,mean_holding_winners,mean_holding_losers,median_holding_winners,median_holding_losers,G_r_full,G_p_full,L_r_full,L_p_full,G_r_frac,G_p_frac,L_r_frac,L_p_frac,G_r,G_p,L_r,L_p,cell_A_rebote_bajo_agua_opp,cell_A_rebote_bajo_agua_sell,cell_B_ganadora_infraponderada_opp,cell_B_ganadora_infraponderada_sell,cell_C_perdedora_sobreponderada_opp,cell_C_perdedora_sobreponderada_sell
607,0.0,0.0,344566.9749870626,11,306558.98844334064,309085.99001258693,-0.11030652762107873,-0.10297268034990259,-0.10378852259029847,3.399549748305535,182,90,0.008411459473135765,0.18193205110256794,0.14283022245259355,2527.001569246546,4690003.13849309,344898.84585677605,2345.001569246545,182.0,2855.0,2689.0,0.0,41.0,40.0,0.0,75,78.48448009512678,57.56827927085317,60.02549743652344,48.0,41.0,396.0,40.0,348.0,29.0,408.0,31.75,356.25,41.0,396.0,40.0,348.0,493.0,9.0,1461.0,18.0,720.0,11.0
608,0.0,0.0,75324.10035978754,6,71969.14731801707,72532.51480919145,-0.044540233812889185,-0.037060987615677,-0.03747365697443883,3.088087568744321,91,45,0.006725112709687803,0.16573161167785225,0.20903637364606864,563.3674911744324,944734.9823488652,76482.20470744403,472.36749117443264,91.0,1047.0,1977.0,0.0,18.0,22.0,0.0,38,64.93480011384626,104.25160750181504,58.573116302490234,50.93859100341797,18.0,69.0,22.0,119.0,14.0,73.0,13.25,127.75,18.0,69.0,22.0,119.0,424.0,5.0,321.0,4.0,501.0,6.0
609,0.0,0.0,110243.03741059356,19,92771.06253117613,93922.73560579412,-0.15848597144819332,-0.14803929742987265,-0.1494042924595853,3.7629571604604375,345,163,0.0040280093514713155,0.15459080819117696,0.07464195635783272,1151.6730746181117,1613346.1492362234,107186.0561016069,806.6730746181117,345.0,4034.0,5537.0,0.0,73.0,90.0,0.0,140,73.02701331581619,73.33568575218527,62.0,62.5,73.0,1037.0,90.0,1459.0,54.75,1055.25,63.5,1485.5,73.0,1037.0,90.0,1459.0,1010.0,15.0,1737.0,28.0,1438.0,23.0
610,0.0,0.0,61125.040048683404,18,56797.08821574673,57400.03499676257,-0.07080489157127179,-0.06094073801757882,-0.06134275727846128,2.793700086060494,269,120,0.00700300823215627,0.165916932395677,0.08198347305288317,602.9467810159124,667893.5620318255,59767.829532271695,333.9467810159128,269.0,4204.0,4864.0,0.0,53.0,78.0,0.0,116,96.16976288815576,87.04464584315573,90.0,72.0,53.0,884.0,78.0,1072.0,31.25,905.75,51.75,1098.25,53.0,884.0,78.0,1072.0,922.0,18.0,1688.0,19.0,1427.0,24.0
611,0.0,0.0,110518.64631907053,25,91155.59080009538,92107.45535291226,-0.17520170725827966,-0.16658900175998015,-0.1673819978288753,2.8760985630089517,375,168,0.00400149138605991,0.1646727703421091,0.06455185625493264,951.8645528169434,1153729.1056338872,100285.94990385734,576.8645528169436,375.0,5053.0,7547.0,0.0,77.0,105.0,0.0,150,73.01340484802076,93.72384490273873,53.0,72.69259643554688,77.0,1446.0,105.0,2122.0,48.0,1475.0,70.25,2156.75,77.0,1446.0,105.0,2122.0,1496.0,29.0,2374.0,40.0,1930.0,30.0
612,0.0,0.0,90651.25532903941,13,73565.84510183915,74333.8401182466,-0.1884740610064899,-0.1800020876883064,-0.18121385726007655,3.2110429301791137,212,100,0.006400252361346625,0.16891312355139665,0.09725732225450116,767.9950164074987,1111990.0328149977,86575.45671251508,555.9950164074988,212.0,2744.0,3808.0,0.0,44.0,55.0,0.0,89,91.59298144674781,59.18751437922789,83.53851318359375,52.721031188964844,44.0,475.0,55.0,583.0,28.5,490.5,36.75,601.25,44.0,475.0,55.0,583.0,788.0,10.0,830.0,15.0,1042.0,23.0
613,0.0,0.0,14416.710083489637,18,11386.860284181435,11672.649493570034,-0.21016235894055046,-0.19033888966541457,-0.19288762005890303,2.3264959433211354,224,96,0.006909235585552075,0.15621527634027826,0.07193181681856697,285.78920938859994,123578.4187771999,13279.457797032346,61.78920938859995,224.0,3511.0,5534.0,0.0,39.0,71.0,0.0,99,79.69100407453206,128.02079531527767,74.67430877685547,124.72869873046875,39.0,674.0,71.0,995.0,26.25,686.75,45.25,1020.75,39.0,674.0,71.0,995.0,1192.0,11.0,1103.0,11.0,1282.0,19.0
614,0.0,0.0,44370.38280039197,8,44662.58897692181,45062.1747726669,0.006585613152007008,0.015591300516542228,0.015761356570899387,2.9921665558025587,137,71,0.004808327905121855,0.1685616695780639,0.18256403949998465,399.58579574513305,525171.5914902659,43878.87352659454,262.58579574513294,137.0,1942.0,2090.0,0.0,25.0,33.0,0.0,54,96.8216924687471,78.58254697219095,89.0,58.0,25.0,176.0,33.0,198.0,15.5,185.5,22.25,208.75,25.0,176.0,33.0,198.0,390.0,9.0,802.0,8.0,400.0,6.0
615,0.0,0.0,340654.2558801072,27,310155.113595532,312363.72618037503,-0.08953107662130388,-0.08304763322754127,-0.08348380056910887,2.701597755665144,385,177,0.002714282041050075,0.1623629919177439,0.05330280039653638,2208.612584843126,3647225.1696862485,337506.3110374371,1823.6125848431243,385.0,5890.0,7718.0,0.0,74.0,107.0,0.0,151,79.78992368992462,89.01558332715672,69.75105285644531,60.0,74.0,1646.0,107.0,2250.0,52.75,1667.25,69.25,2287.75,74.0,1646.0,107.0,2250.0,1548.0,20.0,2165.0,22.0,1692.0,19.0
616,0.0,0.0,442195.15355914895,9,356938.79527220747,359603.12539947295,-0.19280256149514174,-0.18677732556521187,-0.1876310194629751,2.998867115161065,139,66,0.004720701095584411,0.17979271181013606,0.1393229456373097,2664.330127265695,5050660.254531389,421047.3539321969,2525.3301272656945,139.0,1779.0,2757.0,0.0,25.0,39.0,0.0,62,106.56241710898843,63.57201351297324,55.0,55.0,25.0,212.0,39.0,282.0,20.5,216.5,24.25,296.75,25.0,212.0,39.0,282.0,625.0,8.0,495.0,6.0,749.0,13.0
