base_costo,conteo_parcial,referencia,PGR,PLR,PGR_menos_PLR,PGR_sobre_PLR,delta_hat,SE_delta_hat,delta_inyectado,turnover_medio,dias_neutros
fifo,partial_as_full,mid,0.11988185368139938,0.022500842558955205,0.09738101112244417,5.327882872265469,0.7993515294326479,0.0032860934220808853,0.7996926481639853,1.9339235770786416,0.0
fifo,partial_as_fraction,mid,0.08254290692845094,0.015401286643340808,0.06714162028511013,5.35948124594777,0.7993515294326479,0.0032860934220808853,0.7996926481639853,1.9339235770786416,0.0
fifo,partial_as_full,ask_paid,0.1201455742980905,0.022562644430955348,0.09758292986713515,5.324977516077591,0.7992916087761676,0.003289928121265894,0.7996926481639853,1.9295307033068985,0.0
fifo,partial_as_fraction,ask_paid,0.08272696866784549,0.015447323301704952,0.06727964536614053,5.3554241762205335,0.7992916087761676,0.003289928121265894,0.7996926481639853,1.9295307033068985,0.0
average_cost,partial_as_full,mid,0.1192423754007056,0.022122105325367604,0.097120270075338,5.390191107352218,0.7993507494427714,0.0032703814497143653,0.7996926481639853,1.9764875483225588,0.0
average_cost,partial_as_fraction,mid,0.08210379394330128,0.015135732972828077,0.0669680609704732,5.4245006892428265,0.7993507494427714,0.0032703814497143653,0.7996926481639853,1.9764875483225588,0.0
average_cost,partial_as_full,ask_paid,0.11952146261398451,0.022188675096439178,0.09733278751754533,5.386597536558874,0.7993557467613589,0.0032677444221540773,0.7996926481639853,1.9712978407751385,0.0
average_cost,partial_as_fraction,ask_paid,0.08232509205681221,0.015182893503028228,0.06714219855378398,5.422226800207251,0.7993557467613589,0.0032677444221540773,0.7996926481639853,1.9712978407751385,0.0
per_lot,partial_as_full,mid,0.0959149452851801,0.014857358608501804,0.0810575866766783,6.455719876768327,0.7995661694366538,0.003130043463194743,0.7996926481639853,2.0330419143664544,0.0
per_lot,partial_as_fraction,mid,0.06596162563200832,0.01018194472106943,0.055779680910938885,6.478293434015053,0.7995661694366538,0.003130043463194743,0.7996926481639853,2.0330419143664544,0.0
per_lot,partial_as_full,ask_paid,0.09622139823905938,0.014893629519045383,0.081327768720014,6.460574174751377,0.7996921529756946,0.003132234683067073,0.7996926481639853,2.027975559028133,0.0
per_lot,partial_as_fraction,ask_paid,0.06618550675552513,0.010199890563768294,0.05598561619175684,6.488844791200707,0.7996921529756946,0.003132234683067073,0.7996926481639853,2.027975559028133,0.0
