,Nulo,Disposicion baja,Disposicion alta,Rotacion baja,Rotacion alta,Ambos activos,Confound rebalanceo,Confound reversion,Poblacion heterogenea
Nulo,0.0,0.5907417286530242,1.8560000184963217,0.015394363999208389,0.004927397533156202,1.9321904637481926,8.424594436033013,0.981904941651969,1.0679426514797123
Disposicion baja,0.5907417286530242,0.0,1.2869973384674627,0.59943205951654,0.5871881854912142,1.349766119204781,8.83038477950045,1.1993005897782718,0.4942367190863498
Disposicion alta,1.8560000184963217,1.2869973384674627,0.0,1.8628121719908177,1.8522358308559643,0.17866553824754683,9.927920804270624,2.080233154383252,0.8035630528345569
Rotacion baja,0.015394363999208389,0.59943205951654,1.8628121719908177,0.0,0.01538287838315191,1.9396900300649977,8.417225143206528,0.9857651275470951,1.0746592735348028
Rotacion alta,0.004927397533156202,0.5871881854912142,1.8522358308559643,0.01538287838315191,0.0,1.9284718005205872,8.426079208266144,0.9841052846053082,1.064004918200271
Ambos activos,1.9321904637481926,1.349766119204781,0.17866553824754683,1.9396900300649977,1.9284718005205872,0.0,9.932644953924067,2.1931391891033716,0.8705718033086509
Confound rebalanceo,8.424594436033013,8.83038477950045,9.927920804270624,8.417225143206528,8.426079208266144,9.932644953924067,0.0,9.095810986672738,9.201601779515405
Confound reversion,0.981904941651969,1.1993005897782718,2.080233154383252,0.9857651275470951,0.9841052846053082,2.1931391891033716,9.095810986672738,0.0,1.512221512963403
Poblacion heterogenea,1.0679426514797123,0.4942367190863498,0.8035630528345569,1.0746592735348028,1.064004918200271,0.8705718033086509,9.201601779515405,1.512221512963403,0.0
